"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","genename"
"ENSG00000117519",4483.62709360346,-2.42268313328186,0.0612492683645193,-39.554482820325,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20185781074842,0.0728529770090778,43.949580953287,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31371280980018,0.0589159742722241,-39.2714003015474,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.94665216876,-1.88799902316147,0.0442896294835818,-42.6284673223864,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.34448004409046,0.0695585989019628,48.081475143055,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39225737143404,0.0623260827593146,38.3829251819379,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83224920116337,0.0406907465166311,45.0286455279088,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84403385564594,0.0437279602985141,-42.1705893221962,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26603520651489,0.0560838088054443,40.4044456819222,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26253497977772,0.0569216446710504,39.748236243926,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19602944668446,0.0760899061127752,-42.0033301387904,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07977654786464,0.055205658477906,37.6732495401173,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000139289",12942.9106281238,2.03730909682676,0.0478732273329354,42.5563349355632,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.9505391704471,0.0448857934901058,43.4556018459841,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52368626655957,0.0656943819969529,38.4155568535011,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85826276136849,0.0863777748404126,44.6673090212943,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40664708335225,0.058844482044852,-40.898432609499,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92416384248696,0.0698307686676492,-41.875005792993,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14232539257126,0.0419633240624361,-51.0523282041182,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53445924189482,0.0675009738186697,37.5470026358913,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000123416",4420.07398793879,-1.93835766664291,0.0517370635714903,-37.4655524074048,3.3531175909593e-307,2.12076704014864e-304,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000150938",7442.98631416393,-2.0596001124659,0.0553184862329402,-37.2316788242025,2.09731448315272e-303,1.2662059529652e-300,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000157680",1359.0634938634,2.54495016772481,0.0692379337807923,36.7565874478886,9.12464965138645e-296,5.26928681172673e-293,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000136068",3796.1265394147,-1.64977276498753,0.0449315990799637,-36.7174282413469,3.84991414888564e-295,2.13060665522913e-292,"FLNB","2317","filamin B"
"ENSG00000104081",804.838487338129,4.43411747111758,0.120973076378793,36.6537547349246,3.98723929855668e-294,2.11834049453719e-291,"BMF","90427","Bcl2 modifying factor"
"ENSG00000165434",1243.14971044106,2.51721438462048,0.069163265745252,36.395250535047,5.06099476409185e-290,2.58538970987185e-287,"PGM2L1","283209","phosphoglucomutase 2 like 1"
